category_l1,view_users,cart_users,purchase_users,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,purchase_revenue
electronics,4459,219,119,0.04911415115496748,0.54337899543379,0.026687598116169546,121229.39000000001
appliances,1146,18,7,0.015706806282722512,0.3888888888888889,0.006108202443280977,7118.740000000002
computers,603,6,3,0.009950248756218905,0.5,0.004975124378109453,10020.11
construction,257,5,1,0.019455252918287938,0.2,0.0038910505836575876,1127.0
uncategorized,4254,47,14,0.011048425011753644,0.2978723404255319,0.003291020216267043,20557.769999999997
accessories,76,0,0,0.0,0.0,0.0,186.44
apparel,559,0,0,0.0,0.0,0.0,731.26
auto,248,3,0,0.012096774193548387,0.0,0.0,336.66
furniture,758,0,0,0.0,0.0,0.0,2668.46
kids,179,1,0,0.00558659217877095,0.0,0.0,82.4
sport,70,0,0,0.0,0.0,0.0,0.0
